id,username,pixel_avatar,interests,activity_score,is_online,is_moderator,is_public,tags_agregados
1,wmortimer0,rolinga,"[""hiking"", ""series"", ""skate"", ""cooking""]",59,false,false,false,"[""yoga"", ""movies""]"
2,gbernet1,gotica,"[""yoga"", ""skate"", ""knitting""]",37,false,false,true,"[""subculture"", ""cooking""]"
3,bbechley2,preppy,"[""style"", ""cooking""]",2,false,false,false,"[""subculture"", ""cooking"", ""skate"", ""gardening""]"
4,jvalentetti3,rolinga,"[""reading"", ""photography""]",3,false,false,true,"[""photography"", ""music"", ""hiking"", ""anime""]"
5,njonczyk4,rolinga,"[""reading"", ""painting"", ""birdwatching"", ""cooking""]",90,true,false,false,"[""subculture"", ""skate"", ""adolescente"", ""series""]"
6,abrafield5,rolinga,"[""traveling"", ""yoga"", ""anime""]",87,false,false,false,"[""music"", ""adolescente""]"
7,qiiannone6,rolinga,"[""alone"", ""series"", ""hiking""]",79,false,false,true,"[""style"", ""reading""]"
8,btruelock7,rolinga,"[""series"", ""hiking"", ""gardening"", ""traveling""]",55,false,false,false,"[""reading"", ""gardening"", ""alone""]"
9,mrosenbarg8,emo-boy,"[""movies"", ""birdwatching"", ""traveling"", ""music""]",35,false,false,true,"[""birdwatching"", ""photography""]"
10,cwalkowski9,flogger-girl,"[""movies"", ""music"", ""photography""]",83,false,false,false,"[""reading"", ""knitting"", ""skate""]"
11,cmcgiffiea,gotica,"[""adolescente"", ""painting"", ""cooking"", ""style""]",17,false,false,false,"[""birdwatching"", ""gardening"", ""music""]"
12,rricciardob,flogger-girl,"[""alone"", ""series"", ""birdwatching"", ""style""]",34,false,false,true,"[""photography"", ""series""]"
13,mcalderonelloc,preppy,"[""gardening"", ""cooking"", ""skate"", ""emo""]",16,true,false,false,"[""traveling"", ""photography"", ""alone"", ""cooking""]"
14,psavaged,preppy,"[""style"", ""traveling"", ""alone"", ""skate""]",16,true,false,false,"[""series"", ""cooking"", ""painting""]"
